Name,Source,Type,Class,Range,Damage,Pen,Qualities,Wt,Availability,Book and Page#
Chain Glaive,Only War,Chain,Two-handed,,1d10+3R,2,"Razor-Sharp, Tearing, Unbalanced",12,Very Rare,HotE pg 117
Chain Greataxe,Black Crusade,Chain,Two-handed,,1d10+10R,3,"Felling (2), Tearing, Unwieldy",18,Very Rare,ToB pg 38
Chain Greatsword,Black Crusade,Chain,Two-handed,,1d10+7R,3,"Tearing, Unbalanced",16,Scarce,Core pg 164
Chain Halberd,Black Crusade,Chain,Two-handed,,1d10+3R,3,Tearing,8,Rare,Core pg 164
Chain Hammer,Black Crusade,Chain,Two-handed,,1d10+11R,4,"Concussive (2), Tearing, Unweildy",20,Very Rare,ToB pg 38
Chain Spear,Black Crusade,Chain,One-handed,,1d10+3R,3,Tearing,7,Scarce,ToB pg 38
Chainaxe,Only War,Chain,One/Two-handed,,1d10+3R,2,"Tearing, Unbalanced",11,Scarce,HotE pg 117
Chainblade,Only War,Chain,One-handed,,1d10+1R,2,Tearing,2,Scarce,HotE pg 117
Chainfist,Rogue Trader,Chain,One-handed,,2d10R,12,"Tearing, Unwieldly",15,Very Rare,FaC pg 90
Chainflail,Only War,Chain,Two-handed,,1d10+4R,2,"Flexible, Tearing, Unwieldly, Vengeful (9)",14,Very Rare,HotE pg 117
Chainsword,Only War,Chain,One-handed,,1d10+2R,2,"Balanced, Tearing",6,Average,Core pg 185
Chainsword (Hydraphur),Rogue Trader,Chain,One-handed,,1d10+3R,2,Tearing,9,Scarce,HA pg 56
Crimson Crown,Rogue Trader,Chain,Thrown,SB*4,1d10+2R,2,Tearing,0.5,Very Rare,ItS:TEH pg 124
Double-edged Chainsword,Rogue Trader,Chain,One/Two-handed,,1d10+5R,2,Tearing,12,Average,ItS:TEH pg 124
Eviscerator,Only War,Chain,Two-handed,,2d10R,9,"Razor-Sharp, Tearing, Unwieldly",15,Very Rare,Core pg 185
Ironfang Chainsword,Black Crusade,Chain,Two-handed,,1d10+3R,3,"Concussive (0), Tearing, Unbalanced",12,Extremely Rare,ToB pg 38
Puritan's Wrath,Only War,Chain,Two-handed,,1d10+4R,5,"Sanctified, Tearing, Unbalanced",12,Extremely Rare,SoH pg 130
Brazier of Holy Fire,Dark Heresy,Flame,One-handed,,1d10+5E,3,"Flame, Unbalanced",6,Very Rare,EWi pg 46
Burning Blade,Rogue Trader,Flame,One-handed,,1d10+5E,4,"Balanced, Flame, Power Field",3,Extremely Rare,ItS:TEH pg 124
Fire Gauntlets,Dark Heresy,Flame,One-handed,,1d10I,2,"Flame, Unbalanced",1,Very Rare,EWi pg 46
Animus Hammer,Dark Heresy,Force,One-handed,,2d10+10+SB*2E,4,"Daemonbane, Force, Power Field, Unwieldy",8,Near Unique,EB pg 42
Force Axe,Only War,Force,One-handed,,1d10+3R,2,"Force, Unbalanced",6.5,Near Unique,Core pg 185
Force Dagger,Only War,Force,One-handed,,1d5+2R,2,Force,1.5,Extremely Rare,Core pg 185
Force Hammer,Dark Heresy,Force,One-handed,,2d10R,0,"Force, Unbalanced",10,Extremely Rare,EB pg 42
Force Staff,Only War,Force,Two-handed,,1d10I,2,Force,2,Extremely Rare,Core pg 185
Force Sword,Only War,Force,One-handed,,1d10+1R,2,"Balanced, Force",5,Near Unique,Core pg 185
Nemesis Daemon Hammer,Dark Heresy,Force,One-handed,,2d10+1+SB*2E,8,"Daemonbane, Force, Power Field, Unwieldy",10,Near Unique,EB pg 42
Sanctus Hammer,Dark Heresy,Force,One-handed,,2d10+6+SB*2E,4,"Balanced, Concussive (4), Daemonbane, Force, Power Field",6,Near Unique,EB pg 42
Tempus Hammer,Dark Heresy,Force,One-handed,,2d10+4+SB*2E,6,"Daemonbane, Force, Power Field, Unwieldy",14,Near Unique,EB pg 42
Axe,Only War,Low-tech,One-handed,,1d10+1R,0,Unbalanced,4,Common,HotE pg 120
Axe of Retribution,Dark Heresy,Low-tech,Two-handed,,2d10R,6,"Felling (2), Sanctified",8,Near Unique,EWi pg 46
Axe-Rake,Dark Heresy,Low-tech,Two-handed,,1d10+2R,0,"Primitive (8), Unbalanced",4,Abundant,1e TIH pg 128
Blackwing Halberd,Dark Heresy,Low-tech,One-handed,,1d10+3R,4,Balanced,5,Rare,1e DH pg 71
Cavalry Spear,Only War,Low-tech,One-handed,,1d10R,0,"Proven (2), Unbalanced",7,Scarce,HotE pg 120
Falx,Rogue Trader,Low-tech,Two-handed,,1d10+4R,2,"Tearing, Unbalanced, Special",6.5,Rare,FaC pg 89
Flail,Only War,Low-tech,Two-handed,,1d10+1I,0,"Flexible, Primitive (7)",8.5,Scarce,HotE pg 120
Flail of Chastisement,Dark Heresy,Low-tech,One-handed,,1d10+8R,2,"Crippling (2), Flexible, Primitive (8), Snare (2)",3,Rare,EWi pg 46
Great Weapon,Only War,Low-tech,Two-handed,,2d10R,0,Unbalanced,7,Scarce,Core pg 185
Groxwhip,Only War,Low-tech,One-handed,3m,1d10+3R,0,"Flexible, Tearing, Primitive (6)",4,Scarce,Core pg 185
Hunting Lance,Only War,Low-tech,One-handed,,2d10+3X,7,Concussive (3),4,Scarce,HotE pg 121
Hunting Lance (Inferno),Only War,Low-tech,One-handed,,2d10+4E,5,Flame,4,Scarce,HotE pg 121
Hunting Lance (Krak),Only War,Low-tech,One-handed,,2d10+5X,8,"Concussive (3), Proven (2), Unbalanced",5,Rare,HotE pg 121
Hunting Lance (Melta),Only War,Low-tech,One-handed,,2d10+10E,24,"Inaccurate, Unwieldly",8,Very Rare,HotE pg 121
Hunting Lance (Plasma),Only War,Low-tech,One-handed,,3d10+3E,8,"Overheats, Unwieldly",6,Extremely Rare,HotE pg 121
Hunting Lance (Poison),Only War,Low-tech,One-handed,,1d10+6R,4,"Razor Sharp, Toxic (3)",4,Rare,HotE pg 121
Hunting Lance (Shock),Only War,Low-tech,One-handed,,1d10+2I,2,"Shocking, Recharge",4,Scarce,HotE pg 121
Improvised,Only War,Low-tech,Thrown,,1d10-2I,0,"Primitive (7), Unbalanced",0,,Core pg 185
Knife,Only War,Low-tech,One-handed,,1d5R,0,-,1,Plentiful,Core pg 185
Man-Catcher,Dark Heresy,Low-tech,Two-handed,2m,1d10I,0,"Snare (4), Unwieldly",8,Scarce,EWi pg 46
Parrying Dagger,Rogue Trader,Low-tech,One-handed,,1d5R,0,Defensive,0.5,Average,ItS:TEH pg 124
Praesidium Protectiva,Dark Heresy,Low-tech,One-handed,,1d10I,0,Defensive,14,Very Rare,EWi pg 46
Reliquary Blade,Dark Heresy,Low-tech,One-handed,,1d10+2R,3,"Balanced, Sanctified",3,Very Rare,1e DH pg 71
Rune Weapon,Dark Heresy,Low-tech,One-handed,,1d10R,0,"Balanced, Tainted, Tearing, Vengeful (8)",3,Near Unique,EB pg 42
Sacred Incense,Dark Heresy,Low-tech,Two-handed,,1d10+2I,0,"Flexible, Sanctified",5,Very Rare,1e DH pg 71
Scythe,Black Crusade,Low-tech,Two-handed,,1d10+4R,3,"Unbalanced, Felling (1)",6,Common,Core pg 165
Shield,Only War,Low-tech,One-handed,,1d5I,0,Defensive,3,Common,Core pg 185
Spear,Only War,Low-tech,One-handed,,1d10R,0,Primitive (8),3,Common,Core pg 185
Staff,Only War,Low-tech,Two-handed,,1d10I,0,"Balanced, Primitive (7)",3,Plentiful,Core pg 185
Stealth Claw,Dark Heresy,Low-tech,One-handed,,1d10+4R,4,"Felling (2), Razor Sharp, Sanctified",1.5,Very Rare,EB pg 42
Sword,Only War,Low-tech,One-handed,,1d10R,0,Balanced,3,Common,Core pg 185
Truncheon,Only War,Low-tech,One-handed,,1d10I,0,Primitive (7),2,Plentiful,Core pg 185
Wailing Trident,Dark Heresy,Low-tech,One-handed/ Thrown,6m,1d10+8R,4,"Balanced, Felling (3), Sanctified",9,Very Rare,EB pg 42
Warhammer,Only War,Low-tech,Two-handed,,1d10+3I,1,"Concussive (1), Primitive (8)",4.5,Scarce,Core pg 185
Warknife,Only War,Low-tech,One-handed,,1d5+3R,0,-,2,Average,SoH pg 120
Whip,Dark Heresy,Low-tech,One-handed,3m,1d10R,0,"Flexible, Primitive (6)",2,Average,Core pg 160
Bonecrusher Mace,Black Crusade,Power,Two-handed,2m,1d10+12I,4,"Concussive (2), Power Field, Unwieldy",16,Extremely Rare,ToB pg 38
Cavalry Sabre,Only War,Power,One-handed,,1d10+6E,4,"Power Field, Razor Sharp",4,Very Rare,HotE pg 118
Cognatine Hammer,Rogue Trader,Power,One-handed,,1d10+8E,5,"Power Field, Unwieldly",14,Very Rare,FaC pg 90
Cognatine Hammer,Rogue Trader,Power,Two-handed,,1d10+10E,5,"Power Field, Unwieldly",14,Very Rare,FaC pg 90
Desoleum Power Blade,Dark Heresy,Power,One-handed,,1d10+3E,5,Power Field,2,Very Rare,EWo pg 45
Ebenus Hammer,Dark Heresy,Power,One-handed,,2d10+6+SB*2E,10,"Daemonbane, Power Field, Unwieldly",16,Near Unique,EB pg 42
Forearm Powerblade,Rogue Trader,Power,One-handed,,1d10+1E,4,"Balanced, Defensive, Power Field",1.5,Very Rare,ItS:TEH pg 124
Lightning Claws,Rogue Trader,Power,One-handed,,1d10+8E,8,"Power Field, Tearing",12,Extremely Rare,FaC pg 90
Loi Power Axe,Rogue Trader,Power,Two-handed,,1d10+7E,9,"Power Field, Unbalanced",9,Extremely Rare,ItS:TEH pg 124
Omnissian Axe,Only War,Power,Two-handed,,1d10+9E,6,"Power Field, Unbalanced",8,Extremely Rare,Core pg 185
Ordo Malleus Power Glaive,Dark Heresy,Power,Two-handed,3m,1d10+8E,5,"Balanced, Power Field, Proven (4), Sanctified",4.5,Extremely Rare,EB pg 42
Power Axe,Only War,Power,One-handed,,1d10+7E,7,"Power Field, Unbalanced",6,Very Rare,Core pg 185
Power Blade,Black Crusade,Power,One-handed,,1d10+3E,5,Power Field,3,Very Rare,Core pg 164
Power Claymore,Deathwatch,Power,Two-handed,,1d10+10E,7,"Power field, Unwieldly, Devestating (1)",18,Near Unique,
Power Discus,Rogue Trader,Power,Thrown,SB*4,1d10+4E,5,Power Field,0.5,Extremely Rare,ItS:TEH pg 124
Power Fist,Only War,Power,One-handed,,2d10+SB*2E,9,"Power Field, Unwieldly",13,Very Rare,Core pg 160
Power Flail,Only War,Power,Two-handed,,1d10+8E,3,"Flexible, Power Field, Unwieldly",7,Extremely Rare,HotE pg 118
Power Mace,Black Crusade,Power,One-handed,,1d10+6E,4,Power Field,8,Extremely Rare,Core pg 164
Power Maul (High),Only War,Power,One-handed,,1d10+5E,4,"Power Field, Shocking",3.5,Very Rare,Core pg 185
Power Maul (Low),Only War,Power,One-handed,,1d10+1E,2,Shocking,,,Core pg 185
Power Scythe,Black Crusade,Power,Two-handed,,1d10+7E,7,"Power Field, Unbalanced",9,Very Rare,Core pg 164
Power Shield,Dark Heresy,Power,One-handed,,1d10E,1,"Defensive, Power Field",6,Very Rare,EB pg 42
Power Spear,Only War,Power,One-handed,,1d10+4E,8,"Power Field, Proven (2)",7,Extremely Rare,HotE pg 118
Power Stake,Dark Heresy,Power,One-handed,,1d10+7E,5,"Power Field, Sanctified, Unbalanced",1,Very Rare,EWi pg 46
Power Sword,Dark Heresy,Power,One-handed,,1d10+5E,5,"Balanced, Power Field",3,Very Rare,Core pg 160
Serpentine Power Blade,Dark Heresy,Power,One-handed,,1d10+2E,6,Power Field,1.5,Very Rare,1e TIH pg 125
Thunder Hammer,Dark Heresy,Power,One/Two-handed,,2d10+4+SB*2E,10,"Concussive (2), Power Field, Unwieldy",16,Very Rare,EB pg 42
Venator Blade,Only War,Power,One-handed,,1d5+2R,2,"Balanced, Felling (2), Razor Sharp",0.5,Extremely Rare,SoH pg 130
Axe of Retribution,Rogue Trader,Shock,Two-handed,,2d10R,6,"Shocking, Tearing, Unbalanced",10,Extremely Rare,FaC pg 90
Command Baton,Only War,Shock,One-handed,,1d10+1E,0,Shocking,4,Very Rare,HotE pg 119
Electro Flail,Dark Heresy,Shock,One-handed,,1d10+2R,0,"Flexible, Shocking",4.5,Rare,EWi pg 46
Officer's Cutlass,Rogue Trader,Shock,One-handed,,1d10R,0,"Balanced, Shocking",3,Scarce,Core pg 131
Shock Glove,Only War,Shock,One-handed,,1d10I,0,Shocking,1,Extremely Rare,HotE pg 119
Shock Maul,Dark Heresy,Shock,One-handed,,1d10+3I,0,Shocking,2.5,Scarce,Core pg 160
Shock Spear,Trisdekan Primer,Shock,One-handed,2m,1d10+5I,0,"Shocking, Unbalanced",8,Scarce,Vol 3 pg 28
Shock Stars,Rogue Trader,Shock,Thrown,SB*3,1d10I,0,Shocking,0.5,Rare,ItS:TEH pg 124
Shock Whip,Dark Heresy,Shock,One-handed,3m,1d10+1I,0,"Flexible, Shocking",3,Rare,Core pg 160
Shocknet,Rogue Trader,Shock,Thrown,5m,-,-,"Shocking, Snare (2)",1,Average,HA pg 56
Suppression Shield,Only War,Shock,One-handed,,1d10I,0,"Defensive, Recharge, Shocking",7,Extremely Rare,HotE pg 119
