Name,Source,Weapons that can use said Ammunition,Affect,Rarity,Book and page#
"""Emperor's Light"" Thermal Bolts",Dark Heresy,All Crossbows,"Lose Primitive, Accurate, Gain 1d10E Damage and Pen 6, Melta, Inaccurate",Rare,EWi pg 46
"""Emperor's Wrath"" Shard Bolts",Dark Heresy,All Crossbows,Gain Crippling (2),Scarce,EWi pg 47
"""Heretic's Match"" Incendiary Bolts",Dark Heresy,"Bows, Crossbows, Shotguns",Gain Flame and Unreliable,Scarce,EWi pg 47
Abyssal Bolts,Dark Heresy,"Bolt Weapons, crossbows","Gain Crippling (2), Tainted, but lose Reliable or Sanctified",Very Rare,2e EB pg 45
Acid Shells,Rogue Trader,All Shotguns and all non-heavy Bolt Weapons,"Damage changes to 1d10, 0 Pen. Gain Corrosive",Very Rare,ItS:TEH pg 129
Airtorch Canister,Rogue Trader,All Melta Weapons,"Gain Scatter, Overheat, 50% Range",Extremely Rare,ItS:TEH pg 129
Amputator Shell,Only War,All non-heavy Solid Projectile Weapons,2+ Damage,Extremely Rare,Core pg 194
Barbed Rounds,Black Crusade,Any Solid Projectile Weapon,Gain Crippling (1),Scarce,Core pg 173
Bleeder Round,Only War,All non-heavy Solid Projectile Weapons,2+ Damage until combat ends,Rare,Core pg 194
Blessed Ammunition,Rogue Trader,Any ammo that can be consecrated,Gain Sanctified,Extremely Rare,FaC pg 93
"Bolt Shells, Modified",Rogue Trader,All Shotguns,"1d10+5X Pen 4, Gain Tearing, +30 meters, Unreliable",Rare,HA pg 61
Breaching Rounds,Unknown,"Astartes Shotguns, Astartes Assault Shotguns",,Average,RoB pg 140
Capacitor Rounds,Rogue Trader,"Shotguns, All non-heavy Bolt Weapons",Gain Shocking but -4 Damage,Rare,FaC pg 93
Cryptus Shotgun Shells,Dark Heresy,All Shotguns,"Gain Sanctified, at Short Range Daemons must make a Toughness test or be blind",Rare,1e DH pg 75
Dragonfire Bolts,Rogue Trader,All Bolt Weapons,"Gain Blast (2), Flame, -1 Damage",Very Rare,FaC pg 92
Dumdum Bullets,Only War,All non-heavy Solid Projectile Weapons,2+ Damage. But AP is doubled,Scarce,Core pg 194
Dummy Bolt,OWEA,All Bolt Weapons,-1 Damage and Pen,Scarce,OWEA pg 10
Duplex Rounds,Trisdekan Primer,non-Shotgun Solid Projectile Weapons,2+ Damage and +10 to hit. 50% Range,Rare,Vol 3 pg 39
Dust Cell,Trisdekan Primer,All Plasma Weapons,-25% clip but gain Shocking,Rare,Vol 3 pg 39
Envenomed Ammunition,Only War,Any Low-Tech ranged Weapon,Gain Toxic (2),Scarce,HotE pg 124
Executioner Shotgun Shells,Dark Heresy,All Shotguns,"4+ Damage, 1+ Pen, Special, Lose Scatter, RoF S/-/-",Very Rare,1e Ascension pg 148
Expander Rounds,Only War,All non-heavy Solid Projectile Weapons,1+ Damage and Pen,Scarce,Core pg 194
Explosive Slug,Only War,Longshot,A lot,Very Rare,SoH pg 131
Filament Cell,Trisdekan Primer,All Plasma Weapons,Gains Accurate but 50% Range,Very Rare,Vol 3 pg 39
