Name,Source,Tier,Prerequisites,Aptitude 1,Aptitude 2,Benefit,Book and page #
Air of Authority,Only War,1,Fel 30,Fellowship,Leadership,Affect more targets with Command,
Ambidexterous,Dark Heresy,1,Ag 30,Weapon Skill,Ballistic Skill,Reduce penalties for using two weapons.,
Ambush,Only War,1,Stealth,Agility,Fieldcraft,Inflict additional Damage on Unaware targets.,
Berserk Charge,Only War,1,-,Strength,Offence,Gain an extra bonus to hit when charging.,
Blind Fighting,Dark Heresy,1,Per 30,Perception,Fieldcraft,Eliminates melee combat penalties for obscured vision.,
Bodyguard,Dark Heresy,1,Ag 35,Agility,Defence,May take the hit instead of an ally, 2e EB pg 61
Brute of Burden,Only War,1,Str 45,Strength,General,Character can carry larger loads and forced march for longer.,
Catfall,Dark Heresy,1,Ag 30,Agility,Fieldcraft,Reduce falling damage.,
Clues from the Crowds,Dark Heresy,1,Fel 30,General,Social,Can re-roll a test made to gather information from a group.,
Cold Hearted,Only War,1,-,Willpower,Defence,"Immune to Seduction, resistant to Charm",
Combat Formation,Only War,1,Int 40,Leadership,Fieldcraft,Use intelligence bonus for Initiative,
Covering Fire,Trisdekan Primer,1,"BS 35, Ag 35",Ballistic Skill,Finesse,Use Overwatch to disrupt enemies,V2 pg 66
Die Hard,Dark Heresy,1,WP 40,Willpower,Defence,Test Willpower to avoid Fatigue from Blood Loss,
Disarm,Dark Heresy,1,Ag 30,Weapon Skill,Defence,Force opponent to drop weapon.,
Disturbing Voice,Only War,1,-,Fellowship,Social," +10 to Intimidate, –10 to Charm.",
Double Team,Dark Heresy,1,-,General,Offence,Gain additional +10 for outnumbering opponent.,
Ears to the Ground,Only War,1,"Commerce, Perception 30",Perception,Social,Character gains a bonus to trade or barter goods and avoid official notice.,
Enemy,Dark Heresy,1,-,General,Social,An organization or group particularly despises the character.,
Evasive,Trisdekan Primer,1,Ag 35,Agility,Defence,Gain one-time bonus to dodge,V2 pg 67
Excellent Cook,Only War,1,Trade (Cook) +10,Fieldcraft,General,Fix a hearty meal to provide squad mates with a bonus to resist Fear and Pinning.,
Ferric Summons,Dark Heresy,1,"Ferric Lure Implants, Mechanicus Implants",Willpower,Tech,Can summon larger metallic objects,
Firebug,Trisdekan Primer,1,Weapon Training (Flame),Willpower,Offence,Ignore fatigue when using Flame Weapons,V2 pg 68
Flagellant,Dark Heresy,1,Willpower 30,Offence,Toughness,Take fatigue but gain a bonus to willpower tests, 2e EWi pg 58
Frenzy,Dark Heresy,1,-,Strength,Offence,Enter psychotic rage to gain combat bonuses,
Grenadier,Dark Heresy,1,BS 35,Ballistic Skill,Finesse,Reduce scatter by half BS bonus, 2e EWo pg 63
Heroic Inspiration,Only War,1,"Fel 35, Command",Leadership,Social,Use Inspire Special Use of the Command Skill as a Half Action.,
Hieghtened Senses,Only War,1,-,Perception,Fieldcraft,Gain +10 bonus to particular sense.,
Hunter's Instincts,Trisdekan Primer,1,"Per 30, BS 30",Offence,Perception,Deal extra damage to uncovered enemies,V2 pg 70
Hurler,Trisdekan Primer,1,Str 35,Strength,Fieldcraft,Throw weapons further,V2 pg 70
Initiated Maintenance,Only War,1,Common Lore (Adeptus Mechanicus) +10,Ballistic Skill,Tech,Reduces Jams and Overheating,
Iron Jaw,Dark Heresy,1,T 40,Toughness,Defence,Test Toughness to overcome Stunning,
Jaded,Dark Heresy,1,WP 40,Willpower,Defence,Ignore mundane horrors,
Keen Intuition,Dark Heresy,1,Int 35,Perception,Social,Can retry Awareness test once with –10 modifier,
Lasgun Volley,Only War,1,"BS 30, Weapon Training (Las)",Ballistic Skill,General, +1 damage to all Las weapons,
Leap Up,Dark Heresy,1,Ag 30,Agility,General,Stand as a Free Action.,
